id,label,description,rights,meta.Agent,meta.Alt Text,meta.Cultural Context,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Rights,meta.Style Period,meta.Subject,Meta.Worktype
000051,Bellows: Dempsey and Firpo,This oil-on-canvas painting depicts a 1923 boxing match between Jack Dempsey and Luis Firpo. Firpo knocks down his opponent Dempsey out of the ring and onto the crowd as people watch. The boxers are highlighted with the misty background and spotlights.,CC 1.0 Universal Public Domain,George Bellows,This painting depicts a 1923 boxing match between Jack Dempsey and Luis Firpo.,"American, Social Realism, Realism",CE 1924,"Whitney Museum of American Art, New York, United States",United States,CC 1.0 Universal Public Domain,"20th Century CE, Social Realism, Realism",boxing match,Painting
000052,Bernini: Elephant and Obelisk,"This sculpture shows an elephant, which serves as the base of an ancient Egyptian obelisk",CC BY-SA 4.0 Petar Milošević ,Gian Lorenzo Bernini,"Sculpture showing an elephant, which serves as the base of an ancient Egyptian obelisk","Southern European, Italian, Baroque",CE 1667,"Piazza della Minerva, Rome, Italy","Rome, Italy",CC BY-SA 4.0 Petar Milošević ,"17th Century CE, Baroque",elephant,Sculpture
000053,Bernini: Four Rivers Fountain,This sculpted fountain shows personifications of four major rivers from continents.  They serve as the base for an ancient Roman obelisk.,CC BY 2.0 Bengt Nyman ,Gian Lorenzo Bernini,Sculpted fountain showing personifications of major rivers from four continents serving as the base for an ancient Roman obelisk.,"Southern European, Italian, Baroque",CE 1647-1651,"Piazza Navona, Rome, Italy","Rome, Italy",CC BY 2.0 Bengt Nyman ,"17th Century CE, Baroque","personifications, allegories",Sculpture
000054,Bernini: The Ecstasy of Saint Teresa,"This sculpture shows a recumbent Saint Teresa in a flowing gown, an angel poised with an arrow above her.",Public Domain,Gian Lorenzo Bernini,"Sculpture showing a recumbent Saint Teresa in a flowing gown, an angel poised with an arrow above her.","Southern European, Italian, Baroque",CE 1647-1652,"Santa Maria della Vittoria, Rome, Italy","Rome, Italy",Public Domain,"17th Century CE, Baroque",Saint Teresa,Sculpture
000055,Bet Maryam ,"A three-story stone square building stands under a modern shade-roof. On the first level are windows showing four cubes at each corner, with a cross-shape bisecting the opening. On the second level and third levels are simple square openings for windows. The roof is pitched.",CC BY 2.0 Katie Hunt ,Unknown,A three-story stone square building stands under a modern shade-roof with windows on the side. The roof is pitched.,"East African, Ethiopian, Zagwe, Christendom",CE 1181-1220,"Lalibela, Ethiopia","Lalibela, Ethiopia
",CC BY 2.0 Katie Hunt ,"12th-13th Century CE, Zagwe Dynasty",Ethiopian Christianity,Architecture
000056,Beta Giorghis (Church of Saint George),"A three-story square building stands in a wide pit. It sits on a three-tiered foundation, with two doorways and two blind windows on the first level. Four windows on the third level show pointed arches. The roof is flat.  ",CC BY-SA 3.0 © UNESCO World Heritage Centre 1992-2018 ,Unknown,"A three-story square building stands in a wide pit. It sits on a three-tiered foundation, with two doorways and windows with pointed arches. The roof is flat.","East African, Ethiopian, Zagwe, Christendom",CE 1200-1300,"Lalibela, Ethiopia ","Lalibela, Ethiopia ",CC BY-SA 3.0 © UNESCO World Heritage Centre 1992-2018 ,"13th Century CE, Zagwe Dynasty",Ethiopian Christianity,"Architecture
"
000057,"Bhairava from East Java, Indonesia ","Carved in volcanic stone is a standing figure wearing a floor-length skirt and elaborate jewelry at the waist, neck, and armbands. On the head is a crown, from which curled hair drapes down past the shoulders. The right arm is raised and broken at the forearm, while the left is down and across the body, broken at the wrist. A circular banner of sculls drapes across one shoulder and loops across the right hip before snaking up the back to join itself. ","ArtStor Museum of Fine Arts, Boston, Collection, Formerly in The AMICO Library ",Unknown,Carved in volcanic stone is a standing figure wearing a floor-length skirt and elaborate jewelry and a crown. The arms are broken. A banner of sculls drapes across the chest.,"Southeast Asian, Indonesian, Hindu",CE 1300,"Museum of Fine Arts Boston, Boston, MA, USA","East Java, Indonesia","ArtStor Museum of Fine Arts, Boston, Collection, Formerly in The AMICO Library ",14th Century CE,Hinduism,Sculpture
000058,Bi -- Ritual Disc Neolithic,"A Bi, a jade ritual disc, 16.8 cm in diameter with a circular hole in the middle",ArtStor Philadelphia Museum of Art,Unknown,A jade ritual disc has a circular hole in the middle,"East Asian, Chinese, Liangzhu culture",BCE 2250,Philadelphia Museum of Art,China,ArtStor Philadelphia Museum of Art,"3rd Millennium BCE, Neolithic, Liangzhu culture",Liangzhu culture,Sculpture
000059,Bi -- Ritual Disc with Two Dragons,"A Bi, a flat jade ritual disc with a circular hole in the middle.  Its surface is carved with a repeating curled shape, and the outer rim on each side shows profiles of two undulating dragons.",CC BY-SA 3.0 Mountain,Unknown,A  jade ritual disc with a circular hole in the middle is flanked by two dragons.,"East Asian, Chinese, Warring States Period",BCE 481-221,Shanghai Museum,China,CC BY-SA 3.0 Mountain,"5th-3rd Century BCE, Warring States Period","grain pattern, dragon",Sculpture
000060,Bialucha: Saint Michael’s Cathedral,Two square bell towers topped by cone-shaped roofs and crosses at their peaks rise above the triple-gallery façade of this cream-colored cathedral.  Arched windows and a stained-glass rose window adorn the upper galleries.  A portal with a pier and arched tympanum is at the street level.,Public Domain,Arthur Bialucha,A cathedral with two square bell towers shows arched windows and a rose window.,"East Asian, Chinese, Foreign Missionary Occupations, neo-Romanesque",CE 1934,"Qingdao, Shandong Province, China","Qingdao, Shandong Province, China",Public Domain,"20th Century CE, neo-Romanesque",Christianity,Architecture
000061,Bianzhong of Marquis Yi of Zeng,The set 64 of bianzhongs (bells) are hung on two three-level wooden racks that are perpendicular to each other.  ,CC BY-SA 3.0 Zzjgbc,Unknown,A group of 64 bronze bells of different sizes dangle from three tiers of wooden beams.  ,"East Asian, Chinese, Warring State Period",BCE 433 ,China,China,CC BY-SA 3.0 Zzjgbc,"5th Century BCE, Warring State Period","musical instrument, ritual bronze",Metalwork
000062,"Bierstadt: A Storm in the Rocky Mountains, Mt. Rosalie",View from a deep river valley in the Rocky Mountains of dark storm clouds gathering over Mount Rosalie.,Public Domain,Albert Bierstadt,Storm clouds gathering over Mount Rosalie,"American, Hudson River School, Romanticism",CE 1866,"Brooklyn Museum, New York, USA","Rosalie Peak, Colorado, USA",Public Domain,"19th Century CE, Hudson River School, Romanticism","landscape, mountain",Painting
000063,Bierstadt: The Last of the Buffalo,"This large-scale oil-on-canvas painting measures around six by ten feet. In the middleground of the landscape, a figure, wearing a feathered headdress, rides in on a horse. The rider pulls the reigns on the horse back as he raises a spear at a buffalo who is impaled with arrows and is charging at him. Further in the background of the landscape, other figures ride in on horseback and buffalos roam freely. In the foreground, a group of buffalo lie on the ground injured with skulls around them.",Public Domain Wikimedia Commons,Albert Bierstadt,A male wearing a headdress on a horse raises his spear at a buffalo that is charging at him.,"American, Hudson River School, Romanticism",CE 1888,"National Gallery of Art, Washington D.C., United States","New York, United States",Public Domain Wikimedia Commons,"19th Century CE, Hudson River School, Romanticism","landscape, American western",Painting
000064,"Bihzad: The Seduction of Yusuf, folio 52 verso of the Bustan ","An illustrated house with four floors and a balcony shows some exterior surfaces and two exterior turrets, and some views of interior rooms including a staircase.  Two human figures in an upper room, one chasing the other, wear robes.  ",Artstor: Department of Art History Digital Collections,Kamāl ud-Dīn Behzād,"A house with four stories shows a staircase and two figures in robes, one chasing the other.","Middle Eastern, Afghanistan, Muslim, Persian",CE 1488,"National Library, Cairo, Egypt","Herat, Afghanistan",Artstor: Department of Art History Digital Collections,"15th Century CE, Persian","Muslim, Yusuf",Manuscript Illustration
000065,Bisj Pole,"Carved from a single trunk of a mango tree, the basic form of the bisj pole is an openwork sculptural column with an enlarged wing shape at the top.  People and animals each stand on the shoulders of one below.",CC BY-SA 3.0 olekinderhook,Unknown,A carved pole showing standing human and animal figures.,"Indonesian, Papuan, Asmat",CE 1955-1960,"The Metropolitan Museum of Art, New York, NY USA","Indonesia, Papua Province",CC BY-SA 3.0 olekinderhook,"20th Century CE, Asmat",Asmat,Sculpture
000066,Bison Licking its Flank,"A crude antler carving of a bison, turning its head back to lick its back. Fur around the head is suggested by lines carved in the antler. The eye, nose, and tongue are clearly distinguishable.",CC BY-SA 3.0 Attribution Jochen Jahnke,Unknown,"A relief carving of a bison, turning its head back to lick its back.","Northern and Western European, French, Pre-Historical, Paleolithic","BCE 20,000-12,000",National Museum of Prehistory in Les Eyzies-de-Tayac-Sireuil,"Abri de la Madeleine near Tursac in Dordogne, France",CC BY-SA 3.0 Attribution Jochen Jahnke,Paleolithic,bison,Sculpture
000067,Black Hat -- Joseon Dynasty,This tall black hat with a broad circular brim is made of woven horsehair,"ArtStor Courtesy UBC Museum of Anthropology, Vancouver, Canada, Derek Tan",Unknown,Tall black hat with a broad circular brim made of woven horsehair,"East Asian, Korean, Chosun Dynasty",CE 1392-1897,"Museum of Anthropology,  University of British Columbia, BC, Canada",Korea,"ArtStor Courtesy UBC Museum of Anthropology, Vancouver, Canada, Derek Tan","14th-19th Century CE, Chosun Dynasty","Chosun Dynasty, hat",Clothing
000068,Blake: “Holy Thursday” from Songs of Experience,"This printed and hand-colored page from Songs of Innocence and Experience presents Blake’s poem “Holy Thursday” below an image of a woman dressed in a white gown looking down at a dead baby lying on the ground. Leafless limbs of a tree spread out against a reddish orange sky, and the thick trunk of the tree on the right side of the sheet of paper leads the eye to more images of mothers and suffering and/or dying children. To the right of the second verse of the poem stands a small woman, head buried in hands, and in the bottom right corner we see another infant, this one foreshortened and on his back with head near the viewer, arms outstretched on either side of his head, and knees bent awkwardly. Vines snake though the poetry, contrasting with the dismal scenes depicted.",Public Domain,William Blake,A woman stands next to a tree trunk looking at a child on the ground nearby.,"Northern and Western European, British, Romanticism",CE 1794,"Yale Center for British Art, New Haven, CT, USA","London, England",Public Domain,"18th Century CE, Romanticism","trees, poetry","Manuscript, Prints"
000069,Blake: Ancient of Days,"A nude, muscular man colored in tones of grayish-brown crouches, left knee up and the right down, within a sun-like disk surrounded by dark and ominous clouds; his long hair is swept to the left side of the image as if by a forceful primordial wind. His right arm, vertically bisecting the image, leads the viewer’s eye from the central circle of yellowish orange to the huge open arms of the compass held in his right hand that dominates the darkness below.",Public Domain,William Blake,"A bearded man crouches in a sun disk surrounded by clouds, reaching down with a compass.","Northern and Western European, British, Romanticism",CE 1794,"Fitzwilliam Museum, Cambridge University, Cambridge, England","London, England",Public Domain,"18th Century CE, Romanticism","Urizen, poetry",Prints
